"k","g","lambda","s"
0.1,0,22.9797096904697,0.954145953675838
0.1,0,25.3140331524157,0.95821216344003
0.1,0,27.8854817172629,0.961930956089701
0.1,0,30.718143012687,0.965329763619019
0.1,0,33.8385515342824,0.968434240190863
0.1,0,37.2759372031494,0.971268307753151
0.1,0,41.062499172443,0.97385421498809
0.1,0,45.233707447721,0.976212606033624
0.1,0,49.8286351464731,0.978362595986233
0.1,0,54.8903245092156,0.980321850705195
0.1,0,60.4661900907044,0.982106668889709
0.1,0,66.6084629080916,0.983732064793756
0.1,0,73.3746797065139,0.985211850282485
0.1,0,80.8282219252272,0.986558715222766
0.1,0,89.0389094129674,0.987784305443994
0.1,0,98.0836544540668,0.988899297708454
0.1,0,108.047182231813,0.9899134712983
0.1,0,119.022824477872,0.990835775963311
0.1,0,131.113393742157,0.99167439608421
0.1,0,144.432146472728,0.992436810994561
0.1,0,159.103843927215,0.993129851473483
0.1,0,175.265920853676,0.993759752474836
0.1,0,193.069772888325,0.994332202198746
0.1,0,212.682174729621,0.994852387640785
0.1,0,234.286842373224,0.995325036774712
0.1,0,258.086154041808,0.995754457538172
0.1,0,284.303045930267,0.996144573798552
0.1,0,313.183100524384,0.996498958479456
0.1,0,344.996847054972,0.996820864028127
0.1,0,380.042295636589,0.997113250401183
0.1,0,418.647728828996,0.997378810741231
0.1,0,461.174776770826,0.997619994910511
0.1,0,508.021804691302,0.997839031040435
0.1,0,559.627644531955,0.998037945247801
0.1,0,616.475705633717,0.99821857966013
0.1,0,679.098502995572,0.99838260888398
0.1,0,748.082645522509,0.99853155504155
0.1,0,824.074330989367,0.998666801492508
0.1,0,907.785399193756,0.998789605349767
0.1,0,1000,0.99890110889011
1,0,0.01,9.80296049406921e-05
1,0,0.011015819387359,0.000118718311556234
1,0,0.0121348276774914,0.000143744252375708
1,0,0.0133675069991971,0.000174007068593481
1,0,0.0147254042762412,0.000210589826652805
1,0,0.0162212393912917,0.000254795370051894
1,0,0.0178690243373583,0.000308189532704613
1,0,0.0196841944728661,0.000372652396847882
1,0,0.0216837531098744,0.000450438945458541
1,0,0.023886430789846,0.000544250637029496
1,0,0.0263128607389594,0.000657319615107746
1,0,0.0289857721465107,0.000793507449559397
1,0,0.0319302030769103,0.000957420481300124
1,0,0.0351737350096938,0.00115454399340005
1,0,0.0387467512045613,0.00139139754021794
1,0,0.0426827213116382,0.0016757138076239
1,0,0.0470185148929985,0.00201664331930805
1,0,0.0517947467923121,0.00242498710627757
1,0,0.0570561575878102,0.00291345906952421
1,0,0.062852032692401,0.00349697913078855
1,0,0.0692366640267873,0.00419299731587448
1,0,0.0762698585902344,0.00502184757463264
1,0,0.0840174986929434,0.00600712833375834
1,0,0.0925521590979135,0.00717610442788575
1,0,0.101953786853273,0.00856012209791354
1,0,0.112310450183295,0.0101950251445255
1,0,0.123719163453216,0.0121215560823431
1,0,0.136286795935577,0.014385721320996
1,0,0.150131072890817,0.0170390941542237
1,0,0.165381678339567,0.0201390239278861
1,0,0.182181469856698,0.0237487145760909
1,0,0.200687816766497,0.0279371313028537
1,0,0.221074074274313,0.0327786912348954
1,0,0.243531207343342,0.038352693197619
1,0,0.268269579527973,0.044742444267367
1,0,0.295520923520289,0.0520340473172309
1,0,0.325540511868503,0.0603148251577116
1,0,0.358609548201183,0.0696713735452109
1,0,0.395037801356664,0.0801872572932411
1,0,0.435166507092442,0.0919403903406978
1,0,0.479371564555822,0.105000170512279
1,0,0.528067057458264,0.119424470643265
1,0,0.581709132937436,0.135256616799149
1,0,0.6408002744416,0.152522508062884
1,0,0.705894008661875,0.171228047231032
1,0,0.777600090603804,0.191357054578278
1,0,0.85659021536855,0.212869825375738
