"scenario_id","method","median_g","boundary_hit_frac","g_mode","est_version","phase","reps","test_n","B_boot","delta_main","seed_base","generated"
"n100_p4_rho0.90_lognormal","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","RTE_CV",0,0.647,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","RTE_Stable",0,0.925,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","PMM2_RTE_CV",1,0.606,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","PMM2_RTE_Stable",0,0.925,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","RTE_Oracle",0,0.941,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","PMM2_RTE_Oracle",0,0.893,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_normal","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_normal","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_normal","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_normal","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_normal","RTE_CV",0,0.671,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_normal","RTE_Stable",0,0.929,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_normal","PMM2_RTE_CV",0,0.676,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_normal","PMM2_RTE_Stable",0,0.933,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_normal","RTE_Oracle",0,0.94,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_normal","PMM2_RTE_Oracle",0,0.944,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_exponential","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_exponential","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_exponential","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_exponential","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_exponential","RTE_CV",0,0.682,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_exponential","RTE_Stable",0,0.889,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_exponential","PMM2_RTE_CV",0,0.66,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
