"dataset_id","scale","method","rmse_original","mae_original","slope_var_trace","ok","cond","gamma3","gamma4","g2","g3","dispatch","dispatch_status","est_version","phase","g_mode","reps","test_n","B_boot","delta_main","seed_base","generated"
"remifentanil_conc","log1p","PMM3",31.5534773986227,14.1133241694566,7.5286418662163,1,86.7600823581597,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","log1p","PMM3_RTE_Stable",30.5738662606333,20.2373945000986,0.683623995303365,1,86.7600823581597,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","log1p","RTE_CV",25.4746266929493,12.3056608978415,0.104106351786516,1,86.7600823581597,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","log1p","RTE_Stable",25.7426010615021,12.3973254372526,0.00915834959562753,1,86.7600823581597,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","raw","OLS",20.1338985722307,12.4595684311015,63.4593966313262,1,86.7600823581597,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","raw","PMM2",20.2266260910233,12.4512903335103,40.6981795951634,1,86.7600823581597,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","raw","PMM2_RTE_Stable",20.3740469841261,12.8337299516081,0.993381794266388,1,86.7600823581597,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","raw","PMM3",20.1788356775393,12.1822496152115,55.9209114865474,1,86.7600823581597,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","raw","PMM3_RTE_Stable",20.2985401031247,12.487671627552,1.10233958864488,1,86.7600823581597,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","raw","RTE_CV",20.1887498265355,12.4524069865834,63.6245189840155,1,86.7600823581597,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
"remifentanil_conc","raw","RTE_Stable",20.3294854000129,12.700913132156,1.21992416851754,1,86.7600823581597,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,"PMM2","publication","0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 12:13:41 EEST"
